Price,Close,High,Low,Open,Volume
Ticker,INVE-B.ST,INVE-B.ST,INVE-B.ST,INVE-B.ST,INVE-B.ST
Date,,,,,
2020-01-02,116.71227264404297,117.24786022294626,114.43604586454087,114.43604586454087,4537988
2020-01-03,115.41795349121094,115.81963737069711,114.61457211168047,115.81963737069711,3417924
2020-01-07,115.59648895263672,116.44449135983763,115.19480503560044,115.41796428068275,3683196
2020-01-08,115.5518569946289,115.73038167062317,114.12363915583524,114.88237924423063,3259716
2020-01-09,116.48912811279297,117.02471575923657,116.13207876220368,116.26596886353475,3710640
2020-01-10,116.0428237915039,117.15862017411452,116.0428237915039,116.71230162107027,3759264
2020-01-13,116.17670440673828,116.89081675731187,115.8196550417316,116.04281430000083,3031172
2020-01-14,116.57839965820312,116.57839965820312,114.88238115662551,116.17670210482953,3935064
2020-01-15,116.71227264404297,116.71227264404297,115.8196357595761,116.57838255959611,3866612
2020-01-16,118.89926147460938,118.89926147460938,116.89082795773908,116.89082795773908,4215800
2020-01-17,120.10432434082031,120.4167391529938,119.30094277974307,119.61337121247776,4483936
2020-01-20,119.74726867675781,120.50601570534964,119.52410938841457,120.19358725344429,2397040
2020-01-21,119.83653259277344,119.83653259277344,118.54221150117233,119.43484861545743,2715888
2020-01-22,119.70262908935547,120.55063152899497,119.34556611122942,120.19356855086893,3058768
2020-01-23,118.49756622314453,119.83652177368853,118.31904154051738,119.70263166685822,4160728
2020-01-24,120.41674041748047,121.48791584349844,119.16705391454127,119.25632307356321,5122604
2020-01-27,117.5602798461914,119.16702902912274,117.29248604560976,118.94386979873113,5682300
2020-01-28,119.88115692138672,120.19357171233459,117.64956432650074,117.64956432650074,5608380
2020-01-29,120.23818969726562,120.99693652305521,119.70261572073039,120.23818969726562,4652788
2020-01-30,119.16705322265625,119.92580020825348,118.49757539556268,119.52410261554832,5228848
2020-01-31,117.87272644042969,120.10431908935657,117.73882270915772,119.92579440155454,4484428
2020-02-03,118.76535034179688,119.12239967784286,116.98007642044873,117.8727133811228,4408928
2020-02-04,122.15739440917969,122.15739440917969,119.16705463125692,119.16705463125692,5221104
2020-02-05,123.98725891113281,124.38895640917544,121.35398280255832,122.11272960935212,6095304
2020-02-06,123.67487335205078,125.460147558156,123.45171407628763,124.87992526883504,4040660
2020-02-07,123.496337890625,124.0319119334349,122.69295639557005,123.67486257156163,4295608
2020-02-10,123.98725891113281,124.2550527029752,122.91609736432126,123.45168494800606,2689484
2020-02-11,125.23697662353516,125.23697662353514,124.5674988585703,124.83529268866825,4360592
2020-02-12,124.74603271484375,125.77255991507782,124.56750802183274,125.4155105290558,4061336
2020-02-13,125.10306549072266,125.10306549072266,123.63021994323273,124.56749148279869,4191124
2020-02-14,125.68328094482422,125.95107474469027,124.92453411529682,125.32621800481667,2312124
2020-02-17,125.90644836425781,126.44202237826809,125.50476444861026,125.81717921830976,2289348
2020-02-18,125.23697662353516,126.30813832336689,124.74602353844894,125.37086672830412,3837924
2020-02-19,126.1296157836914,126.48666514950717,125.59402811440754,125.59402811440754,2678792
2020-02-20,125.77255249023438,126.88834878138465,125.41550312529037,126.53129941644063,3922096
2020-02-21,124.7906723022461,125.90646870405344,124.21045000096935,125.10308712241522,3345672
2020-02-24,118.45292663574219,122.55906226524208,117.96197356386901,122.55906226524208,8618228
2020-02-25,115.50724792480469,119.70265365010523,115.06092932599081,118.45295340108878,7610660
2020-02-26,115.23943328857422,115.64111718358068,110.50845482818164,114.70384568152652,10379288
2020-02-27,110.41919708251953,113.36490198417304,108.34381872700003,113.27563964387932,9609836
2020-02-28,106.51390838623047,108.52234165669576,105.04106276944653,106.31306642123992,13921592
2020-03-02,108.32150268554688,109.90593478253899,105.28653540868369,108.14297800290555,13295428
2020-03-03,110.28530883789062,112.65079154184389,109.77203845455199,110.46383352149007,9273760
2020-03-04,111.98130798339844,113.00784188681459,109.9728747503024,110.88782902965765,6653812
2020-03-05,111.40110778808594,114.07901896750839,109.70509601239566,113.67732820442684,7062604
2020-03-06,107.76360321044922,109.4819322033711,106.75938655984604,108.79013714867736,7339608
2020-03-09,102.16230773925781,104.75095654861637,98.72565645575708,100.10924660859982,13965428
2020-03-10,101.93915557861328,107.67435175364511,101.00189069614895,103.32274582785013,11396380
2020-03-11,101.0241928100586,104.21536728548071,100.17618359394469,102.9879914395061,9589164
2020-03-12,89.26370239257812,96.13700475269464,88.5942246246338,95.64605847570347,20984856
2020-03-13,91.18286895751953,96.69489822819936,88.41569567889081,90.7588677536641,19463044
2020-03-16,86.76432037353516,88.57191180012555,82.5912461625686,86.58579568386614,16791436
2020-03-17,87.03211212158203,92.47719674867112,83.8409374012361,90.71423994211051,17254576
2020-03-18,87.34452056884766,87.81315631019551,83.7070278727403,84.53271293103968,10764304
2020-03-19,91.98625946044922,91.98625946044922,85.9163242200138,87.36685956398807,15254648
